short,long
escaroles,"Escaroles, peeled, at processing"
red endive,"Red endive, peeled, at processing"
cheese sauce for risotto or pasta,"Cheese sauce for risotto or pasta, prepacked, at plant"
transformation into spray dried soluble coffee,"Transformation into spray-dried soluble coffee, green coffee, per kg product (adapted from WFLDB)"
selection of hams,"Selection of hams, Fresh hams muscles, Fresh hams muscles selected, industrial production, French production, at plant, 1 kg of fresh hams muscles declassified (POUi)"
reception   storage of meat,"Reception - storage of meat, Fresh hams muscles, Fresh hams muscles, industrial production, French production, at plant, 1 kg of fresh hams muscles (POUi)"
pork ham,"Pork ham, raw, at plant"
asparagus,"Asparagus, peeled, at processing"
table grape,"Table grape, peeled, at processing"
peach,"Peach, pitted, at processing"
fresh sausages case ready,"Fresh sausages case ready, Pork meat and ingredients, Fresh sausages case ready, industrial production, French production, at plant, 1 kg of fresh sausage case ready (PDi)"
coconut oil,"Coconut oil, refined {PH}| coconut oil refinery operation | Cut-off, U - Adapted from Ecoinvent"
potato starch  glo   market for   cut off,"Potato starch {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
sulphiting,"Sulphiting, from white wine, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 L of white wine (POUi)"
tartaric stabilisation,"Tartaric stabilisation, from white wine, for white wine in a cooperative cellar, with CMC, French production mix, at plant, 1 L of white wine (POUi)"
filtration,"Filtration, from must, for white wine in a cooperative cellar, tangential, French production mix, at plant, 1 L of white wine (POUi)"
racking,"Racking, from must, for white wine in a cooperative cellar, French production mix, at plant, 1 L of must (POUi)"
thermic regulation,"Thermic regulation, from must, for white wine in a cooperative cellar, French production mix, at plant, 1 L of must (POUi)"
yeasting,"Yeasting, from must, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 L of must (POUi)"
settling,"Settling, from must, for white wine in a cooperative cellar, static, French production mix, at plant, 1 L of must (POUi)"
pressing,"Pressing, from destemed grape, for white wine in a cooperative cellar, French production mix, at plant, 1 L of must (POUi)"
destem crushing,"Destem/crushing, from grape, for white wine in a cooperative cellar, French production mix, at plant, 1 kg of destemed grape (POUi)"
enzym addition,"Enzym addition, from grape, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 kg of grape (POUi)"
filtration  lees,"Filtration (lees), from lees to filter, for white wine in a cooperative cellar, tangential, French production mix, at plant, 1 L of must (POUi)"
green salad,"Green salad, peeled, at processing"
fresh ground veal production,"Fresh ground veal production, industrial production, French production mix, at plant, 1 kg of fresh ground veal (PDi)"
deboning,"Deboning, of beef quarter, for fresh ground beef processing, industrial production, French production mix, at plant, 1 kg of Food grade bones (POUi)"
wastewater from maize starch production  glo   market for   cut off,"Wastewater from maize starch production {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
scallop,"Scallop, unshelled, at processing"
beef,"Beef, food grade offal, at slaughterhouse (adapted from WFLDB)"
glutamate,Glutamate
glucose  glo   glucose production   cut off,"Glucose {GLO}| glucose production | Cut-off, S - Copied from Ecoinvent"
dummy  breakfast cereals,"[Dummy] Breakfast cereals, corn flakes, sugar iced, fortified with vitamins and chemical elements, at plant"
cashew nut,"Cashew nut, unshelled, at processing"
raisin,"Raisin, consumption mix"
bottling,"Bottling, from red wine, for red wine in a cooperative cellar, French production mix, at plant, 1 L of red wine (POUi)"
tartaric stabilization,"Tartaric stabilization, from red wine, for red wine in a cooperative cellar, with cold, French production mix, at plant, 1 L of red wine (POUi)"
blending,"Blending, from red wine, for red wine in a cooperative cellar, French production mix, at plant, 1 L of red wine (POUi)"
fining,"Fining, from must, for red wine in a cooperative cellar, with gum-arabic, French production mix, at plant, 1 L of red wine (POUi)"
running of,"Running of, from grape must, for red wine in a cooperative cellar, with a pump, French production mix, at plant, 1 L of must (free-run juice) (POUi)"
pumping over,"Pumping over, from grape must, for red wine in a cooperative cellar, French production mix, at plant, 1 L of grape must (POUi)"
putting into tanks,"Putting into tanks, from grape must, for red wine in a cooperative cellar, French production mix, at plant, 1 L of grape must (POUi)"
devatting,"Devatting, from grape pomace before pressing, for red wine in a cooperative cellar, French production mix, at plant, 1 kg of grape pomace before pressing (POUi)"
mussel,"Mussel, unshelled, at processing"
fish freezing,"Fish freezing, small fish {RoW}| fish freezing, small fish | Cut-off, S - Copied from Ecoinvent"
activated bentonite  de   production   cut off,"Activated bentonite {DE}| production | Cut-off, S - Copied from Ecoinvent"
dummy  storage tank,"[Dummy] Storage tank, 5000 L capacity, at plant"
european pilchard or sardine,"European pilchard or sardine, for canned european pilchard or sardine"
canning sardine or mackerel,"Canning sardine or mackerel, industrial, 1kg of canned product/ FR U"
brown sugar,"Brown sugar, production, at plant"
soy sauce,"Soy sauce, prepacked, at plant"
container filling and grouping,"Container filling and grouping, at factory"
frozen banana puree,"Frozen banana puree, consumption mix"
tomato juice,"Tomato juice, pure juice, consumption mix"
soy drink,"Soy drink, plain, at plant"
decaffeination,"Decaffeination, green coffee, supercritical CO2 process (adapted from WFLDB)"
transformation into freeze dried soluble coffee,"Transformation into freeze-dried soluble coffee, green coffee, per kg product (adapted from WFLDB)"
canning vegetables,"Canning vegetables, industrial, 1kg of canned product/ FR U"
squid,"Squid, fillet, raw, at processing"
pine nut,"Pine nut, unshelled, at processing"
npk  15 15 15   with 15  n,"NPK (15-15-15) (with 15% N, 15% P2O5, 15% K2O), at plant (adapted from WFLDB)"
broiler slaughter,"Broiler slaughter, processing"
broiler,"Broiler, national average, at farm gate"
dummy  peeling,"[Dummy] Peeling, processing, at plant"
pork sausages,"Pork sausages, for canned salt-cured pork belly with lentils"
maize flour,"Maize flour, at industrial mill"
processed cheese,"Processed cheese, in slices, at plant"
white cabbage,"White cabbage, peeled, at processing"
white chocolate,"White chocolate, at plant (adapted from WFLDB)"
salmon,"Salmon, fillet, raw, at processing"
peanut oil,"Peanut oil, at plant"
peanut,"Peanut, unshelled, at processing"
celery,"Celery, peeled, at processing"
flaxseed crushing,"Flaxseed crushing, processing"
flaxseed grain dried,"Flaxseed grain dried, stored and transported, processing"
storage   demolding,"Storage - demolding, cooked hams, Cooked hams, industrial production, French production, at plant, 1 kg of stocked ham (POUi)"
cooking  cooling,"Cooking -cooling, Fresh hams molded, Cooked hams, industrial production, French production, at plant, 1 kg of cooked ham (POUi)"
molding,"Molding, Hams injected blended, Fresh hams molded, industrial production, French production, at plant, 1 kg  of fresh ham molded (POUi)"
injection blending,"Injection-blending, muscles of hams selected, hams injected blended, industrial production, French production, at plant, 1 kg of fresh ham injected and blended (POUi)"
mint,"Mint, peeled, at processing"
tea,"Tea, dried, consumption mix"
cherries,"Cherries, pitted, at processing"
maize germ,"Maize germ, dried, from wet milling, at plant"
extraction of maize germ oil,"Extraction of maize germ oil, wet milling, processing (germ oil production, pressing)"
grapeseed,"Grapeseed, dry at distillerie"
dummy  disposal,"[Dummy] Disposal, grape stalks, to industrial boiler"
pumpkin,"Pumpkin, peeled, at processing"
quinoa fr,"Quinoa FR, conventional, at farm gate"
tomme cheese,"Tomme cheese, from cow's milk, at plant"
tofu  row   production   cut off,"Tofu {RoW}| production | Cut-off, U - Copied from Ecoinvent"
french fries,"French fries, raw, at processing"
linseed,"Linseed, consumption mix"
soybean oil,"Soybean oil, at plant"
storage and loading of bulk flour,"Storage and loading of bulk flour, stored flour, industrial production, French production mix, at plant, 1 kg bulk flour at the exit gate (POUi)"
frozen pear puree,"Frozen pear puree, consumption mix"
chive or spring onion,"Chive or spring onion, peeled, at processing"
phosphoric acid  with 54  p2o5,"Phosphoric acid (with 54% P2O5), at plant (adapted from WFLDB)"
dummy  coating mould,"[Dummy] Coating mould, for dry sausage production, at plant"
garden cress,"Garden cress, peeled, at processing"
condensed milk,"Condensed milk, whole, at plant"
provence herbs,"Provence herbs, dried, consumption mix"
oregano,"Oregano, dried, consumption mix"
rosemary,"Rosemary, dried, consumption mix"
thyme,"Thyme, dried, consumption mix"
buckwheat,"Buckwheat, consumption mix"
millet,"Millet, consumption mix"
deboning and vacuum packaging,"Deboning and vacuum packaging, of beef quarter, industrial production, French production mix, at plant, 1 kg of animal by-products C3 for PAP (POUi)"
petit suisse like fresh cream cheese,"Petit-Suisse like fresh cream cheese, plain, around 9% fat, from cow milk {RoW}| yogurt production, from cow milk | Cut-off, U - Adapted from Ecoinvent"
vanilla,"Vanilla, consumption mix"
rolls for hamburger hotdog  buns,"Rolls for hamburger/hotdog (buns), prepacked, at plant"
dummy  capers,"[Dummy] Capers, pickled in vinegar, at plant"
canning tuna,"Canning Tuna, industrial, 1kg of canned product/ FR U"
carboxymethyl cellulose,"Carboxymethyl cellulose, powder {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
enzyme production,"Enzyme production, bacterial, at plant"
fermentation activator,"Fermentation activator, bacterial, at plant"
paper  waste treatment   glo   recycling of paper   cut off,"Paper (waste treatment) {GLO}| recycling of paper | Cut-off, S - Copied from Ecoinvent"
grinding,"Grinding, forming and packaging, of fresh beef trimming, industrial production, French production mix, at plant, 1 kg of animal by-products C3 for PAP (POUi)"
fresh trimming storage,"Fresh trimming storage, for fresh ground beef processing, industrial production, French production mix, at plant, 1 kg of beef trimming (POUi)"
tomato paste production,"Tomato paste production, at plant (adapted from WFLDB)"
processed tomatoes,"Processed tomatoes, consumption mix"
corn glucose syrup,"Corn glucose syrup, at plant (adapted from WFLDB)"
compressed air,"Compressed air, 600 kPa gauge {RER}| market for compressed air, 600 kPa gauge | Cut-off, S - Copied from Ecoinvent"
seitan,"Seitan, at plant"
oat,"Oat, consumption mix"
cheddar cheese,"Cheddar cheese, from cow's milk, at plant"
currant,"Currant, peeled, at processing"
coconut milk or coconut cream,"Coconut milk or coconut cream, at plant"
pork fat,"Pork fat, raw,at plant"
containerboard,"Containerboard, linerboard {RER}| containerboard production, linerboard, kraftliner | Cut-off, S - Copied from Ecoinvent"
cottonseed oil,"Cottonseed oil, crude {GLO}| market for | Cut-off, U - Copied from Ecoinvent"
dummy  unshelling eggs,"[Dummy] Unshelling eggs, processing, at plant"
manufacturing fresh sausages,"Manufacturing fresh sausages, Pork meat and ingredients, Fresh sausages, industrial production, French production, at plant, 1 kg of Coproduct of manufacturing (POUi)"
snail in parsley butter,"Snail in parsley butter, prepared in France, at processing"
activated bentonite  glo   market for   cut off,"Activated bentonite {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
dummy  breadcrumbs,"[Dummy] Breadcrumbs, at plant"
cinnamon  canella,"Cinnamon (canella), consumption mix"
cloves,"Cloves, consumption mix"
nutmeg,"Nutmeg, consumption mix"
whey powder production,"Whey powder production, processing"
soft cheese,"Soft cheese, from cow's milk, consumption mix"
pelleting,"Pelleting, bagging, storage and loading of pelleted by-products, grinded by-products, industrial production, French production mix, at plant, 1 kg pelleted by-products at the exit gate (POUi)"
grinding of by products,"Grinding of by-products, ungrinded by-products, industrial production, French production mix, at plant, 1 kg grinded by-products (POUi)"
beef slaughter,"Beef slaughter, processing"
sodium bicarbonate  rer   soda production,"Sodium bicarbonate {RER}| soda production, solvay process | Cut-off, S - Copied from Ecoinvent"
wheat tortilla wrap,"Wheat tortilla wrap, to be filled, at plant"
soy based sliced,"Soy-based sliced, at plant"
mayonnaise  70  fat and more,"Mayonnaise (70% fat and more), at plant"
agave tequilana,"Agave tequilana, at farm"
extraction of sugar from sugarcane,"Extraction of sugar from sugarcane, processing"
grinding and fermentation of wheat for ethanol production,"Grinding and fermentation of wheat for ethanol production, processing"
dummy  caramel,"[Dummy] Caramel, at plant"
dummy  ro water,"[Dummy] RO water, at plant"
hydrochloric acid,"Hydrochloric acid, without water, in 30% solution state {RER}| market for | Cut-off, S - Copied from Ecoinvent"
cellulose filters,"Cellulose filters, at plant"
wood chips,"Wood chips, mixed, for brandy production from industry, u=40%, at plant"
waste wood,"Waste wood, untreated {CH}| treatment of, municipal incineration | Cut-off, S - Copied from Ecoinvent"
soy protein,"Soy protein, textured, dehydrated, from soy flour, at plant"
boiling,"Boiling, industrial, 1kg of boiled product, for cooking/ FR U"
banana puree,"Banana puree, reconstituted from a concentrate, at plant"
reblochon cheese,"Reblochon cheese, from cow's milk, at plant"
french toast,"French toast, at plant"
thick cream,"Thick cream, light, 15-20% fat, refrigerated, from cow milk {RoW}| yogurt production, from cow milk | Cut-off, U - Adapted from Ecoinvent"
cherry juice,"Cherry juice, pure juice, consumption mix"
frozen raspberry puree,"Frozen raspberry puree, consumption mix"
asian noodles,"Asian noodles, flavoured, at plant"
green cabbage,"Green cabbage, peeled, at processing"
maize steeping,"Maize steeping, processing"
beer,"Beer, regular (4-5 degrees alcohol), at plant"
cauliflower,"Cauliflower, peeled, at processing"
soybean lecithin br,"Soybean lecithin BR, crushing in France, animal feed, at french mill, average"
liquid cream,"Liquid cream, light, 15-20% fat, UHT, from cow milk {RoW}| yogurt production, from cow milk | Cut-off, U - Adapted from Ecoinvent"
seafood,"Seafood, unshelled, at processing"
dummy  fresh grape marcs,"[Dummy] Fresh grape marcs, from wine production, at plant"
cassava,"Cassava, peeled, at processing"
soybean oil cake,"Soybean oil cake, at plant "
pump,"Pump, 40W {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
extrusion,"Extrusion, plastic pipes {RoW}| extrusion, plastic pipes | Cut-off, S - Copied from Ecoinvent"
metal working,"Metal working, average for steel product manufacturing {RoW}| processing | Cut-off, S - Copied from Ecoinvent"
nylon 6  row   market for nylon 6   cut off,"Nylon 6 {RoW}| market for nylon 6 | Cut-off, S - Copied from Ecoinvent"
thermoforming,"Thermoforming, with calendering {RoW}| thermoforming, with calendering | Cut-off, S - Copied from Ecoinvent"
lime,"Lime, hydrated, packed {RoW}| market for lime, hydrated, packed | Cut-off, S - Copied from Ecoinvent"
waste polyethylene  row   treatment of waste polyethylene,"Waste polyethylene {RoW}| treatment of waste polyethylene, sanitary landfill | Cut-off, S - Copied from Ecoinvent"
waste polyvinylchloride  row   treatment of waste polyvinylchloride,"Waste polyvinylchloride {RoW}| treatment of waste polyvinylchloride, sanitary landfill | Cut-off, S - Copied from Ecoinvent"
waste plastic,"Waste plastic, mixture {RoW}| treatment of waste plastic, mixture, sanitary landfill | Cut-off, S - Copied from Ecoinvent"
waste aluminium  row   treatment of,"Waste aluminium {RoW}| treatment of, sanitary landfill | Cut-off, S - Copied from Ecoinvent"
scrap steel  row   treatment of,"Scrap steel {RoW}| treatment of, inert material landfill | Cut-off, S - Copied from Ecoinvent"
aluminium scrap,"Aluminium scrap, new {RoW}| market for | Cut-off, S - Copied from Ecoinvent"
polyethylene,"Polyethylene, high density, granulate {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
fertilising,"Fertilising, by broadcaster {CA-QC}| fertilising, by broadcaster | Cut-off, S - Copied from Ecoinvent"
soy based minced,"Soy-based minced, prepacked, at plant"
maize oil,"Maize oil, at oil mill (adapted from WFLDB)"
cocoa beans,"Cocoa beans, sun-dried, production mix, at farm (adapted from WFLDB)"
carrot juice,"Carrot juice, pure juice, consumption mix"
dummy  grape vinasse,"[Dummy] Grape vinasse, from wine production, at plant"
flocculant,"Flocculant, hydrocarbon based, at plant"
distillation,"Distillation, piquette, 92 %vol, French production mix, at plant, 1 kg vinasse (POUi)"
piquette extraction,"Piquette extraction, grape pomace silaged, 3 to 8 %vol, water scattering, French production mix, at plant, 1 L piquette (POUi)"
grape pomace silaging,"Grape pomace silaging, fresh grape marc, French production mix, at plant, 1 kg silaged grape marc (POUi)"
sauerkraut,"Sauerkraut, without garnish, at plant"
dummy  smoking fish,"[Dummy] Smoking fish, processing, at plant"
emmental,"Emmental, for bolognese-style pasta"
tomato pulp,"Tomato pulp, canned, for bolognese-style pasta"
cooking for bolognese pasta,"Cooking for bolognese pasta, industrial, 1kg of cooked product/ FR U"
hazelnut,"Hazelnut, unshelled, consumption mix"
lettuce,"Lettuce, peeled, at processing"
sulfur  glo   market for   cut off,"Sulfur {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
molasses,"Molasses, from sugar beet, animal feed, at plant"
production of ethanol,"Production of ethanol, from sugar beet molasses, processing"
frozen peach puree,"Frozen peach puree, consumption mix"
grapefruit juice,"Grapefruit juice, pure juice, consumption mix"
dummy  cola,"[Dummy] Cola, with sugar, at plant"
dummy  foie gras,"[Dummy] Foie gras, duck's liver, whole, cooked, at plant"
frozen apricot puree,"Frozen apricot puree, consumption mix"
omelette,"Omelette, with herbs, at plant"
cocoa butter at plant,Cocoa butter at plant
apricot,"Apricot, pitted, at processing"
gum arabic,"Gum arabic, at plant"
potassium bitartrate,"Potassium bitartrate, at plant"
comte cheese,"Comte cheese, from cow's milk, at plant"
coconut,"Coconut, consumption mix"
liquid cream 30  fat,"Liquid cream 30% fat, UHT, from cow milk {RoW}| yogurt production, from cow milk | Cut-off, U - Adapted from Ecoinvent"
avocado,"Avocado, peeled and pitted, at processing"
cucumber,"Cucumber, peeled, at processing"
cream,"Cream, light, 4 to 8% fat, liquid or thick, from cow milk {RoW}| yogurt production, from cow milk | Cut-off, U - Adapted from Ecoinvent"
cheese,"Cheese, buche, from goat's milk, at plant"
mayonnaise,"Mayonnaise, reduced fat or light mayonnaise, at plant"
roquefort cheese,"Roquefort cheese, from ewe's milk, at plant"
syrup,"Syrup, with sugar (to be diluted), at plant"
lactic bacteria addition,"Lactic bacteria addition, from must, in an individual cellar, with a pump, French production mix, at plant, 1 L of must (POUi)"
aromatic stock cube,"Aromatic stock cube, for fish, at plant"
sulphiting  2,"Sulphiting (2), from must, for white wine in an individual cellar, by hand, French production mix, at plant, 1 L of must (POUi)"
cooling,"Cooling, from must, for white wine in an individual cellar, French production mix, at plant, 1 L of must (POUi)"
racking  2,"Racking (2), from must, for white wine in an individual cellar, French production mix, at plant, 1 L of must (POUi)"
quicklime,"Quicklime, milled, packed {RER}| market for quicklime, milled, packed | Cut-off, S - Copied from Ecoinvent"
dummy  methanisation of grape vinasse,[Dummy] Methanisation of grape vinasse
drying,"Drying, pressed grape marc, 12% humidity, French production mix, at plant, 1 kg dried grape marc (POUi)"
frozen mango puree,"Frozen mango puree, consumption mix"
glucose  glo   market for glucose   cut off,"Glucose {GLO}| market for glucose | Cut-off, S - Copied from Ecoinvent"
thick cream 30  fat,"Thick cream 30% fat, refrigerated, UHT, from cow milk {RoW}| yogurt production, from cow milk | Cut-off, U - Adapted from Ecoinvent"
wheat bran,"Wheat bran, at industrial mill"
roasting and grinding,"Roasting and grinding, green coffee (adapted from WFLDB)"
fresh products storage,"Fresh products storage, for sliced beef case ready processing, industrial production, French production mix, at plant, 1 kg of sliced beef case ready (POUi)"
muscle vacuum packed processing,"Muscle vacuum packed processing, from beef, industrial production, French production mix, at plant, 1 kg of beef muscle (PDi)"
grinding and forming,"Grinding and Forming, of frozen beef trimming, industrial production, French production mix, at plant, 1 kg of animal byproducts C3 for PAP (POUi)"
trimming defrosting,"Trimming Defrosting, of frozen beef trimming, industrial production, French production mix, at plant, 1 kg of beef trimming (POUi)"
frozen trimming storage,"Frozen trimming storage, industrial production, French production mix, at plant, 1 kg of beef trimming (POUi)"
raspberries for coulis,"Raspberries for coulis, frozen, at processing"
dummy  sodium citrate,"[Dummy] Sodium citrate, at plant"
dummy  dehairing machine,"[Dummy] Dehairing machine, at plant"
dummy  podium,"[Dummy] Podium, at plant"
dummy  pork splitting machine,"[Dummy] Pork splitting machine, at plant"
boots,"Boots, rubber, at plant"
protection sleeve,"Protection sleeve, PP, at plant"
paper,"Paper, woodcontaining, lightweight coated {RER}| production | Cut-off, S - Copied from Ecoinvent"
dummy  tables,"[Dummy] Tables, at plant"
dummy  whipping machine,"[Dummy] Whipping machine, at plant"
dummy  oven,"[Dummy] Oven, at plant"
dummy  chain conveyor,"[Dummy] Chain conveyor, at plant"
dummy  rail system,"[Dummy] Rail system, for pig slaughtering plant, at plant"
dummy  stunning system,"[Dummy] Stunning system, for pig slaughtering, at plant"
dummy  blood collection system,"[Dummy] Blood collection system, for pig slaughtering, at plant"
dummy  scalding tank,"[Dummy] Scalding tank, at plant"
dummy  recycling plastic bins,[Dummy] Recycling plastic bins
dummy  recycling plastic bottles,[Dummy] Recycling plastic bottles
aluminium  waste treatment   glo   recycling of aluminium   cut off,"Aluminium (waste treatment) {GLO}| recycling of aluminium | Cut-off, S - Copied from Ecoinvent"
decarbonising waste  ch   market for decarbonising waste   cut off,"Decarbonising waste {CH}| market for decarbonising waste | Cut-off, S - Copied from Ecoinvent"
soda ash,"Soda ash, light, crystalline, heptahydrate {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
frozen ground beef storage,"Frozen ground beef storage, industrial production, French production mix, at plant, 1 kg of frozen ground beef (POUi)"
packaging,"Packaging, of frozen ground beef, industrial production, French production mix, at plant, 1 kg of frozen ground beef (POUi)"
freezing,"Freezing, of fresh ground beef, industrial production, French production mix, at plant, 1 kg of frozen ground beef (POUi)"
large trout fillet,"Large trout fillet, for smoked trout"
smoking for trout,"Smoking for trout, industrial, 1kg of smoked product/ FR U"
tarragon,"Tarragon, peeled, at processing"
nuoc mam sauce or fish sauce,"Nuoc mam sauce or fish sauce, prepacked, at plant"
crystallisation,"Crystallisation, concentrated vinasse, French production mix, at plant, 1 kg wet calcium tartrate (POUi)"
concentration,"Concentration, vinasse, French production mix, at plant, 1 kg concentrated vinasse (POUi)"
plum,"Plum, pitted, at processing"
autumn irrigated leek,"Autumn irrigated leek, conventional, at farm gate"
enrichment,"Enrichment, from grape must, for red wine in an individual cellar, with a pump, French production mix, at plant, 1 kg of grape must (POUi)"
warming,"Warming, from grape must, for red wine in an individual cellar, French production mix, at plant, 1 kg of grape must (POUi)"
pick out,"Pick out, from grape, for red wine in an individual cellar, mechanical, French production, at plant, 1 kg of grape (POUi)"
dried maize grain,"Dried maize grain, at farm gate"
rape seed,"Rape seed, organic {CH}| production | Cut-off, S - Copied from Ecoinvent"
transporting,"Transporting, tractor with 2 axle trailer (15 t), processing"
storing of cereals grain in ventilated bin in storing agency,"Storing of cereals grain in ventilated bin in storing agency, processing"
storage of grain,"Storage of grain, temporary, processing"
drying of rapeseed in storing agency,"Drying of rapeseed in storing agency, processing"
prune,"Prune, consumption mix"
rye flour,"Rye flour, at industrial mill"
rice noodle,"Rice noodle, at plant"
generic hand disinfectant,"Generic hand disinfectant, at plant"
dummy  composting station grease,[Dummy] Composting station grease
camembert cheese,"Camembert cheese, from cow's milk, at plant"
broccoli,"Broccoli, peeled, at processing"
mineral water,"Mineral water, PET, at water factory "
fennel,"Fennel, peeled, at processing"
sweet potato,"Sweet potato, consumption mix"
coriander,"Coriander, consumption mix"
anglerfish,"Anglerfish, fillet, raw, at processing"
bay,"Bay, consumption mix"
conger,"Conger, fillet, raw, at processing"
norway lobster,"Norway lobster, unshelled, at processing"
red gurnard,"Red gurnard, fillet, raw, at processing"
saffron,"Saffron, consumption mix"
spiny scorpionfish,"Spiny scorpionfish, fillet, raw, at processing"
john dory,"John dory, fillet, raw, at processing"
extraction of maize germ,"Extraction of maize germ, processing"
durum wheat grain,"Durum wheat grain, at farm (adapted from WFLDB)"
frozen concentrated orange juice,"Frozen concentrated orange juice, consumption mix"
bagging,"Bagging, storage and loading of unpelleted by-products, grinded by-products, industrial production, French production mix, at plant, 1 kg unpelleted by-products at the exit gate (POUi)"
kiwi fr,"Kiwi FR, conventional, national average, at orchard"
broad beans,"Broad beans, consumption mix"
maize starch  glo   market for   cut off,"Maize starch {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
millet flour,"Millet flour, at industrial mill"
beetroot juice,"Beetroot juice, pure juice, consumption mix"
coconut milk,"Coconut milk, at processing"
coconut water,"Coconut water, processed, unbottled, at processing"
guar gum,"Guar gum, at plant (adapted from WFLDB)"
cheese production,"Cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of hard cheese (PGi)"
treatment of vinasses from wheat for ethanol production,"Treatment of vinasses from wheat for ethanol production, processing"
yellowfin tuna,"Yellowfin tuna, for canned Yellowfin tuna"
barbecue sauce,"Barbecue sauce, prepacked, at plant"
soy based patty,"Soy-based patty, plain (vegetable steak), prepacked, at plant"
curry sauce,"Curry sauce, prepacked, at plant"
